7894	INTENSITY/STRENGTH	40.393555
7894	VALENCE/PLEASANTNESS	44.118962
7894	BAKERY	3.386046
7894	SWEET	12.999605
7894	FRUIT	4.981694
7894	FISH	1.754231
7894	GARLIC	3.333646
7894	SPICES	5.930429
7894	COLD	4.486900
7894	SOUR	8.778359
7894	BURNT	5.441753
7894	ACID	5.913702
7894	WARM	5.742290
7894	MUSKY	8.517837
7894	SWEATY	4.314255
7894	AMMONIA/URINOUS	5.186214
7894	DECAYED	4.925248
7894	WOOD	3.340159
7894	GRASS	3.255687
7894	FLOWER	6.044111
7894	CHEMICAL	15.913061
6505	INTENSITY/STRENGTH	40.393555
6505	VALENCE/PLEASANTNESS	44.118962
6505	BAKERY	3.386046
6505	SWEET	12.999605
6505	FRUIT	4.981694
6505	FISH	1.754231
6505	GARLIC	3.333646
6505	SPICES	5.930429
6505	COLD	4.486900
6505	SOUR	8.778359
6505	BURNT	5.441753
6505	ACID	5.913702
6505	WARM	5.742290
6505	MUSKY	8.517837
6505	SWEATY	4.314255
6505	AMMONIA/URINOUS	5.186214
6505	DECAYED	4.925248
6505	WOOD	3.340159
6505	GRASS	3.255687
6505	FLOWER	6.044111
6505	CHEMICAL	15.913061
9862	INTENSITY/STRENGTH	40.393555
9862	VALENCE/PLEASANTNESS	44.118962
9862	BAKERY	3.386046
9862	SWEET	12.999605
9862	FRUIT	4.981694
9862	FISH	1.754231
9862	GARLIC	3.333646
9862	SPICES	5.930429
9862	COLD	4.486900
9862	SOUR	8.778359
9862	BURNT	5.441753
9862	ACID	5.913702
9862	WARM	5.742290
9862	MUSKY	8.517837
9862	SWEATY	4.314255
9862	AMMONIA/URINOUS	5.186214
9862	DECAYED	4.925248
9862	WOOD	3.340159
9862	GRASS	3.255687
9862	FLOWER	6.044111
9862	CHEMICAL	15.913061
241	INTENSITY/STRENGTH	40.393555
241	VALENCE/PLEASANTNESS	44.118962
241	BAKERY	3.386046
241	SWEET	12.999605
241	FRUIT	4.981694
241	FISH	1.754231
241	GARLIC	3.333646
241	SPICES	5.930429
241	COLD	4.486900
241	SOUR	8.778359
241	BURNT	5.441753
241	ACID	5.913702
241	WARM	5.742290
241	MUSKY	8.517837
241	SWEATY	4.314255
241	AMMONIA/URINOUS	5.186214
241	DECAYED	4.925248
241	WOOD	3.340159
241	GRASS	3.255687
241	FLOWER	6.044111
241	CHEMICAL	15.913061
660	INTENSITY/STRENGTH	40.393555
660	VALENCE/PLEASANTNESS	44.118962
